ratedistortion sz zfp
0.027679 16.581359 -
1.124505 22.356775 -
1.927739 32.013594 -
3.435898 42.462214 -
5.023125 52.017441 -
6.788543 62.461719 -
8.424780 72.040090 -
10.262980 82.463832 -
12.056393 92.080149 -
14.491452 102.490785 -
18.207514 112.020576 -
3.736425 - 26.035655
5.677593 - 36.855688
6.692159 - 42.871654
8.698143 - 54.913417
10.698484 - 66.950025
12.698536 - 78.989968
13.698490 - 85.019605
15.698542 - 97.056222
16.698495 - 103.067660
18.698547 - 115.109937
20.698527 - 127.170718
