ratedistortion sz zfp
2.735495 78.393272 -
4.295757 88.849020 -
5.884313 98.395005 -
7.653673 108.853255 -
9.356264 118.396830 -
11.301509 128.836136 -
14.187290 139.303434 -
16.962852 148.899663 -
19.702480 161.821102 -
20.687070 195.625480 -
21.525164 177.162270 -
13.083167 - 91.201402
15.085317 - 103.241838
16.085415 - 109.267212
18.085467 - 121.313745
20.085447 - 133.356741
22.085499 - 145.149893
23.085453 - 151.315138
25.085505 - 167.958000
26.085458 - 176.773843
28.085510 - 197.817061
29.085392 - 212.944779
