ratedistortion sz zfp
2.838869 78.410633 -
4.435056 88.869819 -
6.067161 98.405467 -
7.758683 108.871416 -
9.438641 118.412150 -
11.495687 128.850202 -
14.808120 139.141901 -
17.596974 149.032621 -
20.172399 161.963530 -
21.310965 195.764171 -
22.063508 177.153129 -
13.221481 - 91.201579
15.223486 - 103.235969
16.223584 - 109.257126
18.223564 - 121.313397
20.223616 - 133.351025
22.223596 - 145.168276
23.223622 - 151.292459
25.223601 - 167.943093
26.223627 - 176.826556
28.223607 - 197.651491
29.220884 - 207.139613
