ratedistortion sz zfp
3.811044 78.399579 -
5.505397 88.856277 -
7.122626 98.393197 -
8.845562 108.879506 -
10.677967 118.465469 -
13.572600 129.277760 -
21.998673 144.355905 -
24.753899 155.819182 -
25.450043 202.874729 -
26.017242 169.065869 -
26.410535 184.157221 -
15.058117 - 91.205091
17.058531 - 103.240316
18.058629 - 109.257755
20.058609 - 121.310968
22.058588 - 133.357877
24.058640 - 145.147645
25.058594 - 151.227276
27.058646 - 168.076781
28.058600 - 176.811205
30.058652 - 193.467260
30.933892 - 194.500049
