ratedistortion sz zfp
0.088146 15.632588 -
1.161244 23.248394 -
1.864514 32.821211 -
3.470423 43.280212 -
5.036861 52.839132 -
6.819911 63.289345 -
7.065550 64.780359 -
8.447259 72.869139 -
10.291790 83.291768 -
12.189309 92.831940 -
14.506960 103.310709 -
18.235681 112.836398 -
3.801531 - 26.877853
5.737707 - 37.678775
6.752418 - 43.696761
8.758330 - 55.724696
10.758743 - 67.766348
12.758723 - 79.812352
13.758749 - 85.835870
15.758729 - 97.877994
16.758755 - 103.890804
18.758734 - 115.938657
20.758786 - 127.976572
23.758792 - 146.043760
