ratedistortion sz zfp
0.010715 17.569753 -
1.002585 21.609424 -
2.051314 31.035558 -
3.770172 41.500692 -
5.364452 51.058160 -
7.102055 61.503271 -
8.749585 71.084168 -
10.593836 81.514109 -
12.524776 91.053411 -
14.802251 101.553781 -
18.743950 111.057334 -
3.909462 - 24.394033
5.929552 - 35.890745
6.938259 - 41.900879
8.940988 - 53.941093
10.941184 - 65.984398
12.941164 - 78.018842
13.941190 - 84.053006
15.941170 - 96.085955
16.941196 - 102.106075
18.941175 - 114.150082
20.941227 - 126.195121
23.941161 - 144.242336
