ratedistortion sz zfp
0.717070 43.714621 -
1.316580 54.166209 -
1.896023 63.706106 -
3.151906 74.189494 -
4.653838 83.779556 -
6.250283 94.207339 -
7.783219 103.725387 -
9.619623 114.239558 -
11.223402 123.742283 -
13.207517 134.173548 -
15.271105 143.739274 -
3.421965 - 64.213766
5.100474 - 75.212980
6.027783 - 80.988956
7.947881 - 92.793509
9.905886 - 104.747908
11.880020 - 116.741434
12.870765 - 122.740324
14.856909 - 134.745487
15.851664 - 140.726903
17.843753 - 152.444393
19.839921 - 165.730328
