ratedistortion sz zfp
0.880016 44.672065 -
1.343878 55.202640 -
1.704142 64.465145 -
2.844311 75.087801 -
4.278675 84.615621 -
5.899752 95.082533 -
7.462663 104.639295 -
9.173768 115.079204 -
10.727851 124.576293 -
12.540402 135.047467 -
14.554352 144.525768 -
3.380869 - 65.250651
5.007506 - 76.192837
5.906489 - 81.978308
7.760138 - 93.798519
9.644267 - 105.763240
11.540257 - 117.770819
12.490894 - 123.772613
14.395585 - 135.771216
15.349017 - 141.723148
17.257748 - 153.300166
19.170272 - 169.065734
